label,t_ms,ax,ay,az
off,4277695,0.000977,-0.016113,1.001709
off,4277715,0.000366,-0.014526,1.000732
off,4277735,0.000977,-0.015381,1.001587
off,4277755,0.001221,-0.028687,0.913818
off,4277775,-0.015137,-0.012695,1.000366
off,4277795,0.015381,-0.025635,0.984131
off,4277815,0.003296,-0.014771,1.010132
off,4277835,0.005981,-0.015991,1.000488
off,4277855,0.001831,-0.016357,1.004150
off,4277875,0.001709,-0.015625,1.001465
off,4277895,0.001709,-0.015625,1.001953
off,4277915,-0.000244,-0.013794,1.001953
off,4277935,0.000000,-0.014282,1.006104
off,4277955,0.000732,-0.014648,1.005249
off,4277975,0.000244,-0.014038,1.005615
off,4277995,0.000854,-0.015015,1.003662
off,4278015,0.000366,-0.015503,1.005371
off,4278035,0.000610,-0.015137,1.002930
off,4278055,0.000854,-0.015137,1.005737
off,4278075,0.000977,-0.015015,1.002808
off,4278095,0.000488,-0.014160,1.003906
off,4278115,0.000977,-0.013672,1.003174
off,4278135,0.000244,-0.014648,1.003540
off,4278155,0.000610,-0.015747,1.004395
off,4278175,0.000488,-0.015259,1.003418
off,4278195,0.000244,-0.014526,1.003784
off,4278215,0.000977,-0.013794,1.004639
off,4278235,0.000854,-0.014404,1.003540
off,4278255,0.000244,-0.015381,1.003906
off,4278275,0.000977,-0.014282,1.003906
off,4278295,0.000488,-0.014526,1.005127
off,4278315,0.000366,-0.014282,1.003906
off,4278335,0.000732,-0.015381,1.004028
off,4278355,0.000122,-0.014404,1.004639
off,4278375,0.000366,-0.014282,1.003296
off,4278395,0.000244,-0.014771,1.004150
off,4278415,0.000000,-0.014404,1.003662
off,4278435,0.000244,-0.013794,1.003174
off,4278455,0.000854,-0.014038,1.004028
off,4278475,0.000366,-0.015625,1.003052
off,4278495,0.000244,-0.014771,1.003540
off,4278515,0.000732,-0.014526,1.004395
off,4278535,0.000732,-0.014526,1.003784
off,4278555,0.000122,-0.014282,1.003296
off,4278575,0.000366,-0.014893,1.003784
off,4278595,0.000610,-0.014648,1.003662
off,4278615,0.000732,-0.015015,1.003174
off,4278635,0.000000,-0.014160,1.003662
off,4278655,0.000366,-0.014282,1.004028
off,4278675,0.000122,-0.014160,1.002686
off,4278695,0.000488,-0.015503,1.003296
off,4278715,0.001099,-0.014771,1.004150
off,4278735,0.000977,-0.014282,1.003784
off,4278755,0.000366,-0.014648,1.003662
off,4278775,0.000488,-0.015259,1.004883
off,4278795,0.000854,-0.015015,1.002930
off,4278815,0.000244,-0.015259,1.003540
off,4278835,0.000000,-0.015015,1.004028
off,4278855,0.000488,-0.014526,1.003662
off,4278875,0.000366,-0.014648,1.004028
off,4278895,0.000488,-0.014893,1.004272
off,4278915,0.000244,-0.014771,1.004395
off,4278935,0.000366,-0.014282,1.004517
off,4278955,0.000488,-0.013672,1.002808
off,4278975,0.000488,-0.014648,1.002930
off,4278995,0.000488,-0.014282,1.003906
off,4279015,0.001099,-0.014771,1.001953
off,4279035,0.000488,-0.014893,1.002808
off,4279055,-0.000610,-0.014160,1.002563
off,4279075,0.000122,-0.014404,1.005493
off,4279095,0.001343,-0.014648,1.005005
off,4279115,0.000244,-0.014771,1.004761
off,4279135,0.000122,-0.015259,1.003418
off,4279155,0.000610,-0.015137,1.004395
off,4279175,0.000610,-0.014526,1.004028
off,4279195,0.000244,-0.014038,1.003052
off,4279215,0.000244,-0.014648,1.004150
off,4279235,0.000122,-0.015015,1.003540
off,4279255,0.000732,-0.015503,1.005493
off,4279275,0.001221,-0.015259,1.004761
off,4279295,0.000610,-0.015259,1.004150
off,4279315,0.000244,-0.014526,1.004028
off,4279335,0.000244,-0.015259,1.004028
off,4279355,0.000732,-0.014771,1.002686
off,4279375,0.001099,-0.014893,1.002930
off,4279395,0.000610,-0.015015,1.003662
off,4279415,0.000244,-0.015259,1.004150
off,4279435,0.000732,-0.013916,1.004028
off,4279455,0.000610,-0.013916,1.003540
off,4279475,0.000854,-0.014648,1.003174
off,4279495,0.000610,-0.015625,1.003418
off,4279515,0.000610,-0.016113,1.003662
off,4279535,0.000244,-0.014160,1.004150
off,4279555,0.000122,-0.013062,1.003906
off,4279575,0.000122,-0.014648,1.005249
off,4279595,0.000366,-0.015869,1.004395
off,4279615,0.001343,-0.015991,1.004517
off,4279635,0.000977,-0.014282,1.004517
off,4279655,0.000366,-0.013794,1.005005
off,4279675,-0.000122,-0.013794,1.003784
off,4279695,0.000366,-0.014038,1.004761
off,4279715,0.000977,-0.015137,1.001709
off,4279735,-0.000488,-0.014771,1.001465
off,4279755,0.000000,-0.015381,1.004150
off,4279775,0.001465,-0.015503,1.003906
off,4279795,0.000854,-0.014160,1.003540
off,4279815,0.001221,-0.014038,1.004395
off,4279835,0.001465,-0.015503,1.004639
off,4279855,0.000854,-0.015381,1.004272
off,4279875,0.000122,-0.016357,1.004395
off,4279895,0.000244,-0.014771,1.004395
off,4279915,0.000122,-0.013916,1.004150
off,4279935,0.000610,-0.014648,1.003906
off,4279955,0.000977,-0.015137,1.004761
off,4279975,0.000732,-0.015503,1.004883
off,4279995,-0.000366,-0.014404,1.004517
off,4280015,-0.000244,-0.014282,1.004883
off,4280035,0.000732,-0.014526,1.003296
off,4280055,0.001465,-0.014771,1.004150
off,4280075,0.000244,-0.014038,1.004150
off,4280095,-0.000244,-0.014648,1.003906
off,4280115,0.000122,-0.014038,1.003784
off,4280135,0.000732,-0.014648,1.005127
off,4280155,0.001465,-0.014282,1.004272
off,4280175,0.000244,-0.015503,1.003540
off,4280195,0.000122,-0.014282,1.003418
off,4280215,0.000000,-0.015381,1.004272
off,4280235,0.000122,-0.015747,1.001221
off,4280255,0.000122,-0.015137,1.009399
off,4280275,0.000977,-0.014648,1.006104
off,4280295,0.001587,-0.013794,1.004761
off,4280315,0.001953,-0.014526,1.004639
off,4280335,0.000366,-0.014526,1.003540
off,4280355,0.000366,-0.014771,1.003906
off,4280375,0.000366,-0.013672,1.004639
off,4280395,0.000610,-0.013550,1.003906
off,4280415,0.000854,-0.014648,1.004639
off,4280435,0.000366,-0.014160,1.004272
off,4280455,0.001099,-0.014282,1.004517
off,4280475,-0.000122,-0.015381,1.004517
off,4280495,0.000977,-0.015015,1.003906
off,4280515,-0.000488,-0.013794,1.001099
off,4280535,0.000000,-0.015015,1.005371
off,4280555,0.000610,-0.015259,1.003540
off,4280575,0.001831,-0.014160,1.004761
off,4280595,0.000366,-0.015503,1.003540
off,4280615,-0.000732,-0.014771,1.004639
off,4280635,-0.000122,-0.014771,1.004761
off,4280655,0.000977,-0.014893,1.004028
off,4280675,0.001221,-0.014526,1.003418
off,4280695,0.000122,-0.014648,1.004150
off,4280715,0.000244,-0.014893,1.003784
off,4280735,0.000366,-0.015015,1.004272
off,4280755,0.001221,-0.016479,1.002930
off,4280775,0.000000,-0.012817,1.006592
off,4280795,0.002441,-0.012817,1.003174
off,4280815,0.004639,-0.016113,1.002686
off,4280835,0.000366,-0.016724,1.003540
off,4280855,-0.000854,-0.016113,1.004028
off,4280875,-0.001343,-0.014771,1.003784
off,4280895,0.000122,-0.012329,1.001343
off,4280915,0.001099,-0.011963,1.001587
off,4280935,0.000854,-0.014893,1.005371
off,4280955,0.000732,-0.017334,1.007935
off,4280975,0.002319,-0.017822,1.006470
off,4280995,0.000122,-0.012817,1.004517
off,4281015,0.000610,-0.012451,1.001709
off,4281035,0.000122,-0.014160,1.002808
off,4281055,0.000488,-0.016846,1.002319
off,4281075,0.000854,-0.016846,1.003418
off,4281095,0.001953,-0.015503,1.005005
off,4281115,0.000244,-0.014038,1.003052
off,4281135,-0.002319,-0.012451,1.005005
